id_equipo,equipo,id_partido,fecha,enfrentamiento,resultado,puntos,tiros_campo_convertidos,tiros_campo_intentados,porcentaje_tiros_campo,triples_convertidos,triples_intentados,porcentaje_triples,libres_convertidos,libres_intentados,porcentaje_libres,asistencias,rebotes,perdidas,mas_menos
1610612744,Golden State Warriors,21400582,2015-01-14,GSW vs. MIA,W,104,38,81,0.469,13,29,0.448,15,19,0.789,29,36,13.0,15.0
1610612744,Golden State Warriors,21400593,2015-01-16,GSW @ OKC,L,115,42,92,0.457,9,24,0.375,22,28,0.786,24,43,14.0,-12.0
1610612744,Golden State Warriors,21400603,2015-01-17,GSW @ HOU,W,131,50,91,0.549,9,22,0.409,22,33,0.667,32,49,14.0,25.0
1610612744,Golden State Warriors,21400615,2015-01-19,GSW vs. DEN,W,122,44,81,0.543,13,27,0.481,21,27,0.778,30,53,13.0,43.0
1610612744,Golden State Warriors,21400636,2015-01-21,GSW vs. HOU,W,126,49,98,0.5,13,29,0.448,15,18,0.833,26,46,18.0,13.0
1610612744,Golden State Warriors,21400651,2015-01-23,GSW vs. SAC,W,126,45,94,0.479,17,40,0.425,19,22,0.864,32,46,18.0,25.0
1610612744,Golden State Warriors,21400665,2015-01-25,GSW vs. BOS,W,114,42,89,0.472,8,23,0.348,22,25,0.88,29,47,13.0,3.0
1610612744,Golden State Warriors,21400679,2015-01-27,GSW vs. CHI,L,111,48,113,0.425,9,33,0.273,6,12,0.5,31,48,13.0,-2.0
1610612744,Golden State Warriors,21400703,2015-01-30,GSW @ UTA,L,100,37,86,0.43,8,27,0.296,18,25,0.72,21,41,13.0,-10.0
1610612744,Golden State Warriors,21400715,2015-01-31,GSW vs. PHX,W,106,40,87,0.46,12,32,0.375,14,18,0.778,27,44,15.0,19.0
1610612744,Golden State Warriors,21400730,2015-02-03,GSW @ SAC,W,121,46,91,0.505,10,23,0.435,19,26,0.731,33,49,11.0,25.0
1610612744,Golden State Warriors,21400741,2015-02-04,GSW vs. DAL,W,128,45,86,0.523,19,38,0.5,19,25,0.76,29,46,13.0,14.0
1610612744,Golden State Warriors,21400749,2015-02-06,GSW @ ATL,L,116,47,103,0.456,12,33,0.364,10,15,0.667,31,51,14.0,-8.0
1610612744,Golden State Warriors,21400760,2015-02-07,GSW @ NYK,W,106,37,81,0.457,12,25,0.48,20,24,0.833,21,48,14.0,14.0
1610612744,Golden State Warriors,21400775,2015-02-09,GSW @ PHI,W,89,34,85,0.4,7,29,0.241,14,19,0.737,26,40,14.0,5.0
1610612744,Golden State Warriors,21400793,2015-02-11,GSW @ MIN,W,94,40,90,0.444,7,27,0.259,7,9,0.778,26,49,15.0,3.0
1610612744,Golden State Warriors,21400814,2015-02-20,GSW vs. SAS,W,110,41,84,0.488,17,33,0.515,11,18,0.611,29,40,12.0,11.0
1610612744,Golden State Warriors,21400824,2015-02-22,GSW @ IND,L,98,34,89,0.382,9,26,0.346,21,22,0.955,19,45,10.0,-6.0
1610612744,Golden State Warriors,21400838,2015-02-24,GSW @ WAS,W,114,45,90,0.5,12,23,0.522,12,17,0.706,27,29,9.0,7.0
1610612744,Golden State Warriors,21400854,2015-02-26,GSW @ CLE,L,99,39,92,0.424,11,29,0.379,10,19,0.526,32,44,14.0,-11.0
1610612744,Golden State Warriors,21400861,2015-02-27,GSW @ TOR,W,113,42,87,0.483,13,28,0.464,16,19,0.842,31,47,13.0,24.0
1610612744,Golden State Warriors,21400880,2015-03-01,GSW @ BOS,W,106,40,95,0.421,12,34,0.353,14,17,0.824,19,55,10.0,5.0
1610612744,Golden State Warriors,21400886,2015-03-02,GSW @ BKN,L,108,42,90,0.467,11,30,0.367,13,18,0.722,26,50,15.0,-2.0
1610612744,Golden State Warriors,21400907,2015-03-04,GSW vs. MIL,W,102,37,73,0.507,14,34,0.412,14,25,0.56,30,34,18.0,9.0
1610612744,Golden State Warriors,21400922,2015-03-06,GSW vs. DAL,W,104,38,81,0.469,11,23,0.478,17,19,0.895,28,51,22.0,15.0
1610612744,Golden State Warriors,21400932,2015-03-08,GSW vs. LAC,W,106,40,80,0.5,10,22,0.455,16,23,0.696,23,37,15.0,8.0
1610612744,Golden State Warriors,21400944,2015-03-09,GSW @ PHX,W,98,35,83,0.422,13,31,0.419,15,19,0.789,17,48,18.0,18.0
1610612744,Golden State Warriors,21400960,2015-03-11,GSW vs. DET,W,105,44,84,0.524,7,20,0.35,10,13,0.769,29,42,17.0,7.0
1610612744,Golden State Warriors,21400973,2015-03-13,GSW @ DEN,L,103,39,92,0.424,8,19,0.421,17,22,0.773,29,35,8.0,-11.0
1610612744,Golden State Warriors,21400981,2015-03-14,GSW vs. NYK,W,125,45,90,0.5,19,34,0.559,16,17,0.941,34,42,11.0,31.0
1610612744,Golden State Warriors,21400999,2015-03-16,GSW vs. LAL,W,108,40,84,0.476,7,27,0.259,21,23,0.913,28,37,15.0,3.0
1610612744,Golden State Warriors,21401014,2015-03-18,GSW vs. ATL,W,114,44,84,0.524,14,30,0.467,12,20,0.6,39,44,18.0,19.0
1610612744,Golden State Warriors,21401030,2015-03-20,GSW vs. NOP,W,112,44,88,0.5,5,19,0.263,19,23,0.826,29,42,10.0,16.0
1610612744,Golden State Warriors,21401036,2015-03-21,GSW vs. UTA,W,106,38,78,0.487,8,18,0.444,22,26,0.846,25,37,12.0,15.0
1610612744,Golden State Warriors,21401053,2015-03-23,GSW vs. WAS,W,107,39,95,0.411,13,33,0.394,16,21,0.762,23,62,11.0,31.0
1610612744,Golden State Warriors,21401059,2015-03-24,GSW @ POR,W,122,50,83,0.602,12,26,0.462,10,11,0.909,37,46,14.0,14.0
1610612744,Golden State Warriors,21401082,2015-03-27,GSW @ MEM,W,107,39,90,0.433,16,31,0.516,13,17,0.765,28,43,14.0,23.0
