minute_bin,GAME_ID,pts_scored,pts_received
38,22401135,0,4
39,22401135,2,2
40,22401135,3,4
41,22401135,1,0
42,22401135,2,0
43,22401135,2,3
44,22401135,0,3
45,22401135,0,2
46,22401135,3,0
47,22401135,5,4
48,22401135,3,0
1,22401153,6,2
2,22401153,1,6
3,22401153,3,4
4,22401153,3,4
5,22401153,0,4
6,22401153,5,6
7,22401153,3,2
8,22401153,5,2
9,22401153,6,6
10,22401153,6,2
11,22401153,2,2
12,22401153,3,3
13,22401153,3,2
14,22401153,3,5
15,22401153,2,2
16,22401153,1,2
17,22401153,0,4
18,22401153,2,6
19,22401153,3,0
20,22401153,3,4
21,22401153,2,3
22,22401153,5,3
23,22401153,0,3
24,22401153,5,3
25,22401153,2,0
26,22401153,0,2
27,22401153,6,2
28,22401153,0,0
29,22401153,2,2
30,22401153,3,0
31,22401153,3,0
32,22401153,2,1
33,22401153,4,3
34,22401153,2,0
35,22401153,0,3
36,22401153,2,4
37,22401153,2,6
38,22401153,4,0
39,22401153,1,4
40,22401153,1,0
41,22401153,4,5
42,22401153,2,5
43,22401153,0,3
44,22401153,3,0
45,22401153,0,7
46,22401153,1,4
47,22401153,2,5
48,22401153,2,0
1,22401159,2,2
2,22401159,2,0
3,22401159,0,5
4,22401159,1,3
5,22401159,4,2
6,22401159,8,5
7,22401159,1,2
8,22401159,3,2
9,22401159,3,0
10,22401159,0,3
11,22401159,2,2
12,22401159,0,4
13,22401159,2,2
14,22401159,4,4
15,22401159,2,2
16,22401159,2,2
17,22401159,6,0
18,22401159,3,3
19,22401159,4,2
20,22401159,0,0
21,22401159,4,2
22,22401159,2,4
23,22401159,0,2
24,22401159,5,4
25,22401159,0,0
26,22401159,0,1
27,22401159,2,2
28,22401159,4,0
29,22401159,7,2
30,22401159,5,3
31,22401159,0,2
32,22401159,0,3
33,22401159,0,2
34,22401159,3,0
35,22401159,2,4
36,22401159,0,0
37,22401159,0,2
38,22401159,0,4
39,22401159,2,5
40,22401159,5,0
41,22401159,4,0
42,22401159,2,6
43,22401159,3,0
44,22401159,4,0
45,22401159,2,0
46,22401159,3,1
47,22401159,2,1
48,22401159,2,2
1,22401185,2,3
2,22401185,5,3
3,22401185,0,7
4,22401185,5,0
5,22401185,2,4
6,22401185,3,3
7,22401185,6,4
8,22401185,3,0
9,22401185,2,3
10,22401185,4,5
11,22401185,3,0
12,22401185,3,0
13,22401185,2,0
14,22401185,5,2
15,22401185,3,1
16,22401185,0,6
17,22401185,6,0
18,22401185,5,3
19,22401185,3,0
20,22401185,3,2
21,22401185,2,3
22,22401185,2,2
23,22401185,2,0
24,22401185,7,5
25,22401185,0,0
26,22401185,0,4
27,22401185,3,6
28,22401185,4,0
29,22401185,0,3
30,22401185,1,3
31,22401185,6,3
32,22401185,2,0
33,22401185,2,2
34,22401185,1,2
35,22401185,6,6
36,22401185,4,2
37,22401185,0,4
38,22401185,2,0
39,22401185,5,3
40,22401185,0,2
41,22401185,5,2
42,22401185,2,3
43,22401185,2,2
44,22401185,5,2
45,22401185,0,0
46,22401185,2,3
47,22401185,6,1
48,22401185,4,0
1,22401199,0,3
2,22401199,0,2
3,22401199,0,4
4,22401199,2,2
5,22401199,2,2
6,22401199,5,0
7,22401199,3,3
8,22401199,2,3
9,22401199,0,2
10,22401199,3,0
11,22401199,3,3
12,22401199,5,5
13,22401199,2,0
14,22401199,0,2
15,22401199,4,2
16,22401199,2,4
17,22401199,4,5
18,22401199,0,3
19,22401199,5,3
20,22401199,0,3
21,22401199,0,1
22,22401199,0,2
23,22401199,0,0
24,22401199,1,4
25,22401199,2,2
26,22401199,0,3
27,22401199,0,2
28,22401199,4,5
29,22401199,2,3
30,22401199,2,2
31,22401199,0,2
32,22401199,2,5
33,22401199,0,2
34,22401199,2,0
35,22401199,4,3
36,22401199,0,2
37,22401199,2,3
38,22401199,3,3
39,22401199,2,0
40,22401199,0,2
41,22401199,2,2
42,22401199,2,3
43,22401199,0,0
44,22401199,0,0
45,22401199,5,3
46,22401199,4,0
47,22401199,0,2
48,22401199,0,2
1,42400161,4,0
2,42400161,0,0
3,42400161,5,2
4,42400161,3,5
5,42400161,3,0
6,42400161,0,0
7,42400161,0,0
8,42400161,3,5
9,42400161,2,2
10,42400161,0,2
11,42400161,6,5
12,42400161,2,0
13,42400161,0,5
14,42400161,2,2
15,42400161,0,5
16,42400161,3,2
17,42400161,1,4
18,42400161,0,3
19,42400161,3,5
20,42400161,2,1
21,42400161,2,5
22,42400161,2,3
23,42400161,2,0
24,42400161,3,3
25,42400161,0,3
26,42400161,3,8
27,42400161,3,2
28,42400161,0,5
29,42400161,0,0
30,42400161,2,3
31,42400161,2,5
32,42400161,6,3
33,42400161,0,0
34,42400161,7,0
35,42400161,2,2
36,42400161,5,4
37,42400161,5,2
38,42400161,3,5
39,42400161,2,0
40,42400161,0,3
41,42400161,2,2
42,42400161,0,0
43,42400161,0,3
44,42400161,0,2
45,42400161,0,2
46,42400161,2,0
47,42400161,0,4
48,42400161,3,0
1,42400162,0,2
2,42400162,2,0
3,42400162,3,2
4,42400162,4,0
5,42400162,4,1
6,42400162,2,3
7,42400162,3,0
8,42400162,2,2
9,42400162,5,0
10,42400162,2,3
11,42400162,4,0
12,42400162,3,2
13,42400162,0,2
14,42400162,2,2
15,42400162,4,2
16,42400162,3,2
17,42400162,4,2
18,42400162,2,4
19,42400162,2,2
20,42400162,2,0
21,42400162,0,4
22,42400162,0,2
23,42400162,2,2
24,42400162,3,4
25,42400162,0,0
26,42400162,2,3
27,42400162,0,0
28,42400162,2,3
29,42400162,2,2
30,42400162,5,0
31,42400162,2,2
32,42400162,2,0
33,42400162,2,4
34,42400162,2,0
35,42400162,0,4
36,42400162,4,4
37,42400162,2,0
38,42400162,2,5
39,42400162,1,2
40,42400162,0,3
41,42400162,0,0
42,42400162,0,2
43,42400162,2,0
44,42400162,2,0
45,42400162,0,4
46,42400162,2,0
47,42400162,0,2
48,42400162,2,2
1,42400163,5,2
2,42400163,2,4
3,42400163,0,5
4,42400163,0,4
5,42400163,2,0
6,42400163,5,0
7,42400163,2,3
8,42400163,0,5
9,42400163,3,2
10,42400163,3,2
11,42400163,2,3
12,42400163,2,2
13,42400163,2,3
14,42400163,2,0
15,42400163,3,0
16,42400163,2,2
17,42400163,4,0
18,42400163,1,2
19,42400163,5,2
20,42400163,2,4
21,42400163,1,0
22,42400163,2,2
23,42400163,2,5
24,42400163,6,2
25,42400163,3,3
26,42400163,2,4
27,42400163,0,3
28,42400163,0,3
29,42400163,2,3
30,42400163,3,2
31,42400163,4,2
32,42400163,3,3
33,42400163,3,3
34,42400163,0,0
35,42400163,0,5
36,42400163,6,1
37,42400163,2,2
38,42400163,0,3
39,42400163,4,2
40,42400163,0,4
41,42400163,6,3
42,42400163,0,0
43,42400163,5,3
44,42400163,2,3
45,42400163,0,3
46,42400163,1,2
47,42400163,0,2
48,42400163,0,3
1,42400164,0,2
2,42400164,2,3
3,42400164,3,0
4,42400164,4,2
5,42400164,3,3
6,42400164,2,2
7,42400164,4,4
8,42400164,2,0
9,42400164,2,2
10,42400164,5,2
11,42400164,5,2
12,42400164,0,6
13,42400164,3,0
14,42400164,0,3
15,42400164,0,0
16,42400164,3,3
17,42400164,3,3
18,42400164,3,3
19,42400164,4,2
20,42400164,2,3
21,42400164,4,4
22,42400164,1,3
23,42400164,0,4
24,42400164,3,5
25,42400164,2,0
26,42400164,6,0
27,42400164,3,0
28,42400164,3,0
29,42400164,0,2
30,42400164,0,5
31,42400164,2,2
32,42400164,6,4
33,42400164,2,2
34,42400164,3,2
35,42400164,3,2
36,42400164,6,4
37,42400164,3,6
38,42400164,2,0
39,42400164,0,0
40,42400164,0,2
41,42400164,2,3
42,42400164,0,2
43,42400164,3,0
44,42400164,0,5
45,42400164,3,6
46,42400164,0,3
47,42400164,6,0
48,42400164,0,5
1,42400165,0,4
2,42400165,2,2
3,42400165,0,0
4,42400165,3,3
5,42400165,2,3
6,42400165,2,3
7,42400165,0,6
8,42400165,2,0
9,42400165,3,4
10,42400165,1,2
11,42400165,4,2
12,42400165,3,2
13,42400165,2,0
14,42400165,5,1
15,42400165,5,4
16,42400165,0,5
17,42400165,3,3
18,42400165,4,0
19,42400165,0,3
20,42400165,2,2
21,42400165,0,4
22,42400165,0,0
