metrica,valor
n,164.0
media_lambda,115.78048780487805
varianza,162.17132659131468
desviacion_estandar,12.73465062698285
minimo,85.0
maximo,148.0
asimetria,-0.04376767561001759
curtosis,-0.4129226882918591
ratio_varianza_media,1.4006792479974515
adf_estadistico,-3.9834820730321274
adf_p_valor,0.0014995170139119594
kpss_estadistico,0.4442252171674581
kpss_p_valor,0.05809257880713013
lambda_local,114.98780487804878
lambda_visitante,116.57317073170732
aic_homogeneo,1313.2254291778233
aic_no_homogeneo,1314.33538641241
umbral_evento,128.5151384318609
n_eventos,27.0
lambda_exp,0.16560509554140126
media_tiempos_entre_eventos,6.038461538461538
