equipo,nombre,n,media_lambda,varianza,desviacion_estandar,minimo,maximo,asimetria,curtosis,ratio_varianza_media,adf_estadistico,adf_p_valor,adf_conclusion,kpss_estadistico,kpss_p_valor,kpss_conclusion,lambda_global,lambda_local,lambda_visitante,aic_homogeneo,aic_no_homogeneo,conclusion_no_homogeneo,umbral_evento,n_eventos,lambda_exp,media_tiempos_entre_eventos,P_WW,P_WL,P_LW,P_LL,pi_W,pi_L,prop_W,ultimo,prob_W_sig,prediccion
warriors,Golden State Warriors,164,115.78048780487805,162.17132659131468,12.73465062698285,85.0,148.0,-0.04376767561001759,-0.4129226882918591,1.4006792479974515,-3.9834820730321274,0.0014995170139119594,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.4442252171674581,0.05809257880713013,Serie ESTACIONARIA (no rechaza H0),115.78048780487805,114.98780487804878,116.57317073170732,1313.2254291778233,1314.33538641241,El modelo HOMOGENEO tiene mejor AIC. No hay evidencia suficiente de que lambda varie por local/visitante.,128.5151384318609,27,0.16560509554140126,6.038461538461538,0.5531914893617021,0.44680851063829785,0.6086956521739131,0.391304347826087,0.5766871165644173,0.4233128834355828,0.573170731707317,L,0.6086956521739131,W
lakers,Los Angeles Lakers,164,115.71341463414635,157.60689321832243,12.55415840342643,80.0,150.0,-0.07507864085518412,0.025309318788347746,1.3620451329401315,-4.85683434292325,4.228813086449057e-05,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.3327420408118312,0.1,Serie ESTACIONARIA (no rechaza H0),115.71341463414635,117.13253012048193,114.25925925925925,1307.2173002919535,1306.2921802638848,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,128.2675730375728,26,0.1582278481012658,6.32,0.5876288659793815,0.41237113402061853,0.6060606060606061,0.3939393939393939,0.5950920245398773,0.4049079754601227,0.5914634146341463,L,0.6060606060606061,W
celtics,Boston Celtics,164,118.42073170731707,142.01200922070197,11.91687917286661,76.0,155.0,-0.15108861057058162,0.7458262545666265,1.1992157722153918,-12.411554924081594,4.332211964464456e-23,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.7940297169657167,0.01,Serie NO estacionaria (rechaza H0 de estacionariedad),118.42073170731707,120.03658536585365,116.8048780487805,1284.755360010596,1283.1393165873762,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,130.3376108801837,23,0.1456953642384106,6.863636363636363,0.7338709677419355,0.2661290322580645,0.8461538461538461,0.15384615384615385,0.7607361963190183,0.23926380368098157,0.7621951219512195,W,0.7338709677419355,W
bulls,Chicago Bulls,164,115.03658536585365,139.4011005353956,11.806824320510389,91.0,146.0,0.07246001772577156,-0.5467245854745322,1.211797969246522,-7.34287636191936,1.0539136128207872e-10,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.8183253703956593,0.01,Serie NO estacionaria (rechaza H0 de estacionariedad),115.03658536585365,114.04878048780488,116.02439024390245,1280.0959049934215,1280.704814008374,El modelo HOMOGENEO tiene mejor AIC. No hay evidencia suficiente de que lambda varie por local/visitante.,126.84340968636404,29,0.18421052631578946,5.428571428571429,0.37662337662337664,0.6233766233766234,0.5697674418604651,0.43023255813953487,0.4775344893051513,0.5224655106948488,0.47560975609756095,W,0.37662337662337664,L
heat,Miami Heat,164,110.3719512195122,137.5506766805473,11.728200061413828,85.0,153.0,0.16066465042901457,0.4663008129859776,1.2462466701071628,-12.044619766868838,2.6828043236451283e-22,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.06835068331022162,0.1,Serie ESTACIONARIA (no rechaza H0),110.3719512195122,111.90243902439025,108.84146341463415,1278.651862594713,1277.1712251069944,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,122.10015128092603,19,0.12162162162162163,8.222222222222221,0.4939759036144578,0.5060240963855421,0.5125,0.4875,0.5031790625462073,0.49682093745379274,0.5060975609756098,L,0.5125,W
spurs,San Antonio Spurs,164,113.01219512195122,141.7315585960738,11.905106408431376,82.0,144.0,-0.008182904230812391,-0.2990916384459097,1.2541262333957106,-10.418517850303946,1.7289692465284959e-18,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.30146834444870546,0.1,Serie ESTACIONARIA (no rechaza H0),113.01219512195122,115.69135802469135,110.39759036144578,1284.8296947947501,1276.6653190310067,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,124.9173015303826,31,0.18518518518518517,5.4,0.3090909090909091,0.6909090909090909,0.3611111111111111,0.6388888888888888,0.34325492078732595,0.656745079212674,0.34146341463414637,W,0.3090909090909091,L
nuggets,Denver Nuggets,164,117.8048780487805,172.4131469363474,13.130618680639058,84.0,149.0,-0.08590087444827747,-0.213816188584528,1.4635484522547086,-13.241318834043412,9.158843976280068e-25,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.8638231134323735,0.01,Serie NO estacionaria (rechaza H0 de estacionariedad),117.8048780487805,120.63414634146342,114.97560975609755,1326.9527226907271,1317.8079658723595,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,130.93549672941955,27,0.17333333333333334,5.769230769230769,0.6226415094339622,0.37735849056603776,0.7017543859649122,0.2982456140350877,0.6503067484662577,0.3496932515337424,0.6524390243902439,W,0.6226415094339622,W
bucks,Milwaukee Bucks,164,117.2439024390244,150.75758477096966,12.278338029675256,88.0,146.0,0.09738266213256813,-0.3930653608531691,1.2858458447284702,-3.764919842207863,0.0032873286622712525,Serie ESTACIONARIA (rechaza H0 de raiz unitaria),0.5733443314515672,0.025147673096493874,Serie NO estacionaria (rechaza H0 de estacionariedad),117.2439024390244,119.92771084337349,114.49382716049382,1295.2470125598697,1286.9201023660592,El modelo NO HOMOGENEO tiene mejor AIC. Lambda varia significativamente entre partidos de local y visitante.,129.52224046869966,27,0.17105263157894737,5.846153846153846,0.625,0.375,0.5373134328358209,0.4626865671641791,0.588957055214724,0.4110429447852761,0.5914634146341463,W,0.625,W
