TEAM_NAME,GAME_DATE,MATCHUP,PTS,FG3M,REB,AST,BLK
Denver Nuggets,2024-11-10T00:00:00,DEN vs. DAL,122,14,45,35,5
Philadelphia 76ers,2024-11-10T00:00:00,PHI vs. CHA,107,9,40,24,1
Houston Rockets,2024-11-10T00:00:00,HOU @ DET,101,7,53,19,5
Miami Heat,2024-11-10T00:00:00,MIA @ MIN,95,11,43,18,9
Minnesota Timberwolves,2024-11-10T00:00:00,MIN vs. MIA,94,13,47,22,5
Dallas Mavericks,2024-11-10T00:00:00,DAL @ DEN,120,10,42,29,5
Charlotte Hornets,2024-11-10T00:00:00,CHA @ PHI,105,14,50,22,5
Detroit Pistons,2024-11-10T00:00:00,DET vs. HOU,99,11,46,21,6
Milwaukee Bucks,2024-11-10T00:00:00,MIL vs. BOS,107,13,41,21,8
Phoenix Suns,2024-11-10T00:00:00,PHX vs. SAC,118,18,48,30,3
New York Knicks,2024-11-10T00:00:00,NYK @ IND,121,7,39,23,3
Oklahoma City Thunder,2024-11-10T00:00:00,OKC vs. GSW,116,11,41,25,6
Toronto Raptors,2024-11-10T00:00:00,TOR @ LAL,103,10,40,26,2
Washington Wizards,2024-11-10T00:00:00,WAS @ ORL,94,10,37,20,7
Portland Trail Blazers,2024-11-10T00:00:00,POR vs. MEM,89,4,43,18,3
Chicago Bulls,2024-11-09T00:00:00,CHI @ ATL,125,13,47,30,6
Cleveland Cavaliers,2024-11-09T00:00:00,CLE vs. BKN,105,10,33,24,5
LA Clippers,2024-11-09T00:00:00,LAC vs. TOR,105,10,47,18,8
Utah Jazz,2024-11-09T00:00:00,UTA @ SAS,111,10,45,23,4
San Antonio Spurs,2024-11-09T00:00:00,SAS vs. UTA,110,17,37,29,10
Toronto Raptors,2024-11-09T00:00:00,TOR @ LAC,103,11,44,26,5
Brooklyn Nets,2024-11-09T00:00:00,BKN @ CLE,100,15,36,21,2
Atlanta Hawks,2024-11-09T00:00:00,ATL vs. CHI,113,9,39,31,5
Orlando Magic,2024-11-08T00:00:00,ORL vs. NOP,115,8,43,28,8
Minnesota Timberwolves,2024-11-08T00:00:00,MIN vs. POR,127,22,49,32,7
Memphis Grizzlies,2024-11-08T00:00:00,MEM vs. WAS,128,14,50,30,10
New York Knicks,2024-11-08T00:00:00,NYK vs. MIL,116,14,48,35,3
Charlotte Hornets,2024-11-08T00:00:00,CHA vs. IND,103,17,56,23,7
Cleveland Cavaliers,2024-11-08T00:00:00,CLE vs. GSW,136,20,43,33,7
Oklahoma City Thunder,2024-11-08T00:00:00,OKC vs. HOU,126,14,41,24,8
Denver Nuggets,2024-11-08T00:00:00,DEN vs. MIA,135,18,39,37,5
Los Angeles Lakers,2024-11-08T00:00:00,LAL vs. PHI,116,16,45,28,13
LA Clippers,2024-11-08T00:00:00,LAC @ SAC,107,14,48,20,2
Boston Celtics,2024-11-08T00:00:00,BOS vs. BKN,108,14,39,23,9
Detroit Pistons,2024-11-08T00:00:00,DET vs. ATL,122,13,45,27,8
Phoenix Suns,2024-11-08T00:00:00,PHX @ DAL,114,15,37,26,2
Atlanta Hawks,2024-11-08T00:00:00,ATL @ DET,121,15,44,30,7
Dallas Mavericks,2024-11-08T00:00:00,DAL vs. PHX,113,11,39,18,1
Brooklyn Nets,2024-11-08T00:00:00,BKN @ BOS,104,10,51,24,3
Sacramento Kings,2024-11-08T00:00:00,SAC vs. LAC,98,3,35,19,3
Philadelphia 76ers,2024-11-08T00:00:00,PHI @ LAL,106,13,44,28,4
Miami Heat,2024-11-08T00:00:00,MIA @ DEN,122,20,33,33,1
Golden State Warriors,2024-11-08T00:00:00,GSW @ CLE,117,13,40,32,4
Houston Rockets,2024-11-08T00:00:00,HOU @ OKC,107,11,48,19,3
Indiana Pacers,2024-11-08T00:00:00,IND @ CHA,83,9,37,24,4
Milwaukee Bucks,2024-11-08T00:00:00,MIL @ NYK,94,7,41,20,5
Washington Wizards,2024-11-08T00:00:00,WAS @ MEM,104,9,41,27,8
Portland Trail Blazers,2024-11-08T00:00:00,POR @ MIN,102,6,37,13,7
New Orleans Pelicans,2024-11-08T00:00:00,NOP @ ORL,88,10,31,18,1
Milwaukee Bucks,2024-11-07T00:00:00,MIL vs. UTA,123,15,41,20,3
Minnesota Timberwolves,2024-11-07T00:00:00,MIN @ CHI,135,16,40,29,4
San Antonio Spurs,2024-11-07T00:00:00,SAS vs. POR,118,16,45,35,4
Portland Trail Blazers,2024-11-07T00:00:00,POR @ SAS,105,9,41,23,3
Chicago Bulls,2024-11-07T00:00:00,CHI vs. MIN,119,15,32,30,4
Utah Jazz,2024-11-07T00:00:00,UTA @ MIL,100,17,39,24,5
Houston Rockets,2024-11-06T00:00:00,HOU vs. SAS,127,10,45,28,5
Dallas Mavericks,2024-11-06T00:00:00,DAL vs. CHI,119,12,47,33,4
Memphis Grizzlies,2024-11-06T00:00:00,MEM vs. LAL,131,17,50,28,6
Sacramento Kings,2024-11-06T00:00:00,SAC vs. TOR,122,10,47,26,5
LA Clippers,2024-11-06T00:00:00,LAC vs. PHI,110,12,29,27,1
Cleveland Cavaliers,2024-11-06T00:00:00,CLE @ NOP,131,17,46,33,10
Indiana Pacers,2024-11-06T00:00:00,IND vs. ORL,118,12,36,21,3
Golden State Warriors,2024-11-06T00:00:00,GSW @ BOS,118,14,53,22,5
Atlanta Hawks,2024-11-06T00:00:00,ATL vs. NYK,121,15,48,31,4
Phoenix Suns,2024-11-06T00:00:00,PHX vs. MIA,115,18,46,29,6
Denver Nuggets,2024-11-06T00:00:00,DEN vs. OKC,124,16,55,34,6
Charlotte Hornets,2024-11-06T00:00:00,CHA vs. DET,108,14,47,22,4
Detroit Pistons,2024-11-06T00:00:00,DET @ CHA,107,10,46,34,4
Oklahoma City Thunder,2024-11-06T00:00:00,OKC @ DEN,122,16,47,29,6
Miami Heat,2024-11-06T00:00:00,MIA @ PHX,112,13,43,27,3
New York Knicks,2024-11-06T00:00:00,NYK @ ATL,116,22,41,29,5
Boston Celtics,2024-11-06T00:00:00,BOS vs. GSW,112,19,47,22,3
Orlando Magic,2024-11-06T00:00:00,ORL @ IND,111,7,38,26,5
New Orleans Pelicans,2024-11-06T00:00:00,NOP vs. CLE,122,13,33,21,8
Philadelphia 76ers,2024-11-06T00:00:00,PHI @ LAC,98,7,32,19,2
Toronto Raptors,2024-11-06T00:00:00,TOR @ SAC,107,10,34,25,1
Los Angeles Lakers,2024-11-06T00:00:00,LAL @ MEM,114,15,37,23,1
Chicago Bulls,2024-11-06T00:00:00,CHI @ DAL,99,12,51,25,2
San Antonio Spurs,2024-11-06T00:00:00,SAS @ HOU,100,14,41,20,6
Boston Celtics,2024-11-04T00:00:00,BOS @ ATL,123,18,50,27,7
Minnesota Timberwolves,2024-11-04T00:00:00,MIN vs. CHA,114,18,45,23,8
Portland Trail Blazers,2024-11-04T00:00:00,POR @ NOP,118,10,38,21,5
Oklahoma City Thunder,2024-11-04T00:00:00,OKC vs. ORL,102,12,42,23,4
Golden State Warriors,2024-11-04T00:00:00,GSW @ WAS,125,12,56,29,7
Detroit Pistons,2024-11-04T00:00:00,DET vs. LAL,115,8,55,22,5
Houston Rockets,2024-11-04T00:00:00,HOU vs. NYK,109,8,50,21,6
Utah Jazz,2024-11-04T00:00:00,UTA @ CHI,135,16,49,35,6
LA Clippers,2024-11-04T00:00:00,LAC vs. SAS,113,19,44,25,7
Indiana Pacers,2024-11-04T00:00:00,IND @ DAL,134,13,46,30,3
Denver Nuggets,2024-11-04T00:00:00,DEN vs. TOR,121,10,44,29,10
Phoenix Suns,2024-11-04T00:00:00,PHX vs. PHI,118,11,43,24,4
Cleveland Cavaliers,2024-11-04T00:00:00,CLE vs. MIL,116,17,39,28,4
Brooklyn Nets,2024-11-04T00:00:00,BKN vs. MEM,106,13,37,28,1
Sacramento Kings,2024-11-04T00:00:00,SAC @ MIA,111,10,39,23,4
Miami Heat,2024-11-04T00:00:00,MIA vs. SAC,110,15,36,24,6
Toronto Raptors,2024-11-04T00:00:00,TOR @ DEN,119,13,41,38,3
Philadelphia 76ers,2024-11-04T00:00:00,PHI @ PHX,116,20,38,27,4
Milwaukee Bucks,2024-11-04T00:00:00,MIL @ CLE,114,17,49,21,6
Memphis Grizzlies,2024-11-04T00:00:00,MEM @ BKN,104,8,44,29,8
Dallas Mavericks,2024-11-04T00:00:00,DAL vs. IND,127,15,38,29,3
Chicago Bulls,2024-11-04T00:00:00,CHI vs. UTA,126,14,36,36,7
San Antonio Spurs,2024-11-04T00:00:00,SAS @ LAC,104,11,45,22,10
Los Angeles Lakers,2024-11-04T00:00:00,LAL @ DET,103,9,37,28,1
New York Knicks,2024-11-04T00:00:00,NYK @ HOU,97,11,39,20,4
Washington Wizards,2024-11-04T00:00:00,WAS vs. GSW,112,10,47,29,8
Orlando Magic,2024-11-04T00:00:00,ORL @ OKC,86,5,41,20,5
New Orleans Pelicans,2024-11-04T00:00:00,NOP vs. POR,100,10,34,24,3
Charlotte Hornets,2024-11-04T00:00:00,CHA @ MIN,93,10,38,19,1
Atlanta Hawks,2024-11-04T00:00:00,ATL vs. BOS,93,6,43,23,3
Dallas Mavericks,2024-11-03T00:00:00,DAL vs. ORL,108,10,53,25,5
Atlanta Hawks,2024-11-03T00:00:00,ATL @ NOP,126,15,41,29,3
Detroit Pistons,2024-11-03T00:00:00,DET @ BKN,106,11,47,25,6
Brooklyn Nets,2024-11-03T00:00:00,BKN vs. DET,92,9,27,23,3
New Orleans Pelicans,2024-11-03T00:00:00,NOP vs. ATL,111,16,43,22,3
Orlando Magic,2024-11-03T00:00:00,ORL @ DAL,85,8,43,19,4
Denver Nuggets,2024-11-02T00:00:00,DEN vs. UTA,129,16,52,33,1
Miami Heat,2024-11-02T00:00:00,MIA @ WAS,118,15,65,19,3
Memphis Grizzlies,2024-11-02T00:00:00,MEM @ PHI,124,12,52,35,6
Oklahoma City Thunder,2024-11-02T00:00:00,OKC @ LAC,105,16,41,25,3
Boston Celtics,2024-11-02T00:00:00,BOS @ CHA,113,16,44,23,4
San Antonio Spurs,2024-11-02T00:00:00,SAS vs. MIN,113,13,44,32,5
Golden State Warriors,2024-11-02T00:00:00,GSW @ HOU,127,15,47,26,4
Phoenix Suns,2024-11-02T00:00:00,PHX vs. POR,103,17,63,29,8
Toronto Raptors,2024-11-02T00:00:00,TOR vs. SAC,131,17,46,31,3
Cleveland Cavaliers,2024-11-02T00:00:00,CLE @ MIL,114,15,45,31,2
Milwaukee Bucks,2024-11-02T00:00:00,MIL vs. CLE,113,18,45,24,3
Sacramento Kings,2024-11-02T00:00:00,SAC @ TOR,128,10,49,21,3
Houston Rockets,2024-11-02T00:00:00,HOU vs. GSW,121,15,49,27,6
Portland Trail Blazers,2024-11-02T00:00:00,POR @ PHX,97,14,56,17,5
Charlotte Hornets,2024-11-02T00:00:00,CHA vs. BOS,103,17,34,24,1
Minnesota Timberwolves,2024-11-02T00:00:00,MIN @ SAS,103,11,32,21,2
LA Clippers,2024-11-02T00:00:00,LAC vs. OKC,92,11,50,23,7
Philadelphia 76ers,2024-11-02T00:00:00,PHI vs. MEM,107,19,33,22,5
Washington Wizards,2024-11-02T00:00:00,WAS @ MIA,98,7,44,23,10
Utah Jazz,2024-11-02T00:00:00,UTA @ DEN,103,13,39,24,8
New York Knicks,2024-11-01T00:00:00,NYK @ DET,128,18,45,31,3
Oklahoma City Thunder,2024-11-01T00:00:00,OKC @ POR,137,19,45,31,9
Boston Celtics,2024-11-01T00:00:00,BOS @ CHA,124,13,41,21,5
Cleveland Cavaliers,2024-11-01T00:00:00,CLE vs. ORL,120,15,49,25,4
Sacramento Kings,2024-11-01T00:00:00,SAC @ ATL,123,11,51,28,4
Brooklyn Nets,2024-11-01T00:00:00,BKN vs. CHI,120,11,46,34,6
New Orleans Pelicans,2024-11-01T00:00:00,NOP vs. IND,125,12,46,28,4
Los Angeles Lakers,2024-11-01T00:00:00,LAL @ TOR,131,11,43,29,5
Minnesota Timberwolves,2024-11-01T00:00:00,MIN vs. DEN,119,18,38,34,9
Denver Nuggets,2024-11-01T00:00:00,DEN @ MIN,116,11,46,30,2
Toronto Raptors,2024-11-01T00:00:00,TOR vs. LAL,125,10,44,35,6
Indiana Pacers,2024-11-01T00:00:00,IND @ NOP,118,16,39,35,3
Atlanta Hawks,2024-11-01T00:00:00,ATL vs. SAC,115,19,40,30,4
Chicago Bulls,2024-11-01T00:00:00,CHI @ BKN,112,17,44,24,3
Orlando Magic,2024-11-01T00:00:00,ORL @ CLE,109,11,39,26,4
Charlotte Hornets,2024-11-01T00:00:00,CHA vs. BOS,109,19,42,20,5
Portland Trail Blazers,2024-11-01T00:00:00,POR vs. OKC,114,15,36,27,5
Detroit Pistons,2024-11-01T00:00:00,DET vs. NYK,98,11,38,23,9
Memphis Grizzlies,2024-10-31T00:00:00,MEM vs. MIL,122,8,56,26,3
San Antonio Spurs,2024-10-31T00:00:00,SAS @ UTA,106,12,42,25,7
Phoenix Suns,2024-10-31T00:00:00,PHX @ LAC,125,18,39,29,4
Houston Rockets,2024-10-31T00:00:00,HOU @ DAL,108,8,50,21,4
LA Clippers,2024-10-31T00:00:00,LAC vs. PHX,119,12,48,27,8
Dallas Mavericks,2024-10-31T00:00:00,DAL vs. HOU,102,10,37,21,7
Utah Jazz,2024-10-31T00:00:00,UTA vs. SAS,88,7,53,19,6
Milwaukee Bucks,2024-10-31T00:00:00,MIL @ MEM,99,9,38,20,4
Cleveland Cavaliers,2024-10-30T00:00:00,CLE vs. LAL,134,17,36,37,2
Golden State Warriors,2024-10-30T00:00:00,GSW vs. NOP,104,13,42,32,9
Washington Wizards,2024-10-30T00:00:00,WAS vs. ATL,133,16,37,32,5
Brooklyn Nets,2024-10-30T00:00:00,BKN @ MEM,119,15,34,27,2
Oklahoma City Thunder,2024-10-30T00:00:00,OKC vs. SAS,105,17,39,28,6
Detroit Pistons,2024-10-30T00:00:00,DET @ PHI,105,15,49,23,5
New York Knicks,2024-10-30T00:00:00,NYK @ MIA,116,18,42,30,4
Charlotte Hornets,2024-10-30T00:00:00,CHA vs. TOR,138,20,38,31,8
Indiana Pacers,2024-10-30T00:00:00,IND vs. BOS,135,15,57,33,5
Chicago Bulls,2024-10-30T00:00:00,CHI vs. ORL,102,13,54,23,2
Portland Trail Blazers,2024-10-30T00:00:00,POR @ LAC,106,14,47,19,6
LA Clippers,2024-10-30T00:00:00,LAC vs. POR,105,13,49,26,5
Boston Celtics,2024-10-30T00:00:00,BOS @ IND,132,19,51,23,5
Orlando Magic,2024-10-30T00:00:00,ORL @ CHI,99,11,42,25,8
Toronto Raptors,2024-10-30T00:00:00,TOR @ CHA,133,9,41,37,5
Miami Heat,2024-10-30T00:00:00,MIA vs. NYK,107,17,39,27,3
Philadelphia 76ers,2024-10-30T00:00:00,PHI vs. DET,95,8,37,17,4
San Antonio Spurs,2024-10-30T00:00:00,SAS @ OKC,93,12,52,22,6
Atlanta Hawks,2024-10-30T00:00:00,ATL @ WAS,120,12,41,28,3
Memphis Grizzlies,2024-10-30T00:00:00,MEM vs. BKN,106,8,38,27,3
New Orleans Pelicans,2024-10-30T00:00:00,NOP @ GSW,89,11,49,24,6
Los Angeles Lakers,2024-10-30T00:00:00,LAL @ CLE,110,6,37,21,0
Golden State Warriors,2024-10-29T00:00:00,GSW vs. NOP,124,21,34,34,9
Sacramento Kings,2024-10-29T00:00:00,SAC @ UTA,113,8,49,26,9
Dallas Mavericks,2024-10-29T00:00:00,DAL @ MIN,120,16,40,25,2
Denver Nuggets,2024-10-29T00:00:00,DEN @ BKN,144,13,43,31,4
Brooklyn Nets,2024-10-29T00:00:00,BKN vs. DEN,139,20,41,37,6
Minnesota Timberwolves,2024-10-29T00:00:00,MIN vs. DAL,114,19,42,33,2
Utah Jazz,2024-10-29T00:00:00,UTA vs. SAC,96,14,42,24,4
New Orleans Pelicans,2024-10-29T00:00:00,NOP @ GSW,106,9,44,23,6
Sacramento Kings,2024-10-28T00:00:00,SAC vs. POR,111,14,40,25,6
Boston Celtics,2024-10-28T00:00:00,BOS vs. MIL,119,18,38,24,5
Dallas Mavericks,2024-10-28T00:00:00,DAL vs. UTA,110,11,50,27,12
Miami Heat,2024-10-28T00:00:00,MIA vs. DET,106,15,44,24,3
Cleveland Cavaliers,2024-10-28T00:00:00,CLE @ NYK,110,12,41,21,5
Houston Rockets,2024-10-28T00:00:00,HOU @ SAS,106,15,43,20,2
Orlando Magic,2024-10-28T00:00:00,ORL vs. IND,119,13,46,26,6
Phoenix Suns,2024-10-28T00:00:00,PHX vs. LAL,109,11,46,21,11
Chicago Bulls,2024-10-28T00:00:00,CHI @ MEM,126,25,50,36,6
Denver Nuggets,2024-10-28T00:00:00,DEN @ TOR,127,9,52,29,6
Washington Wizards,2024-10-28T00:00:00,WAS @ ATL,121,21,43,24,3
Toronto Raptors,2024-10-28T00:00:00,TOR vs. DEN,125,10,54,30,7
Atlanta Hawks,2024-10-28T00:00:00,ATL vs. WAS,119,15,39,32,7
Memphis Grizzlies,2024-10-28T00:00:00,MEM vs. CHI,123,14,60,37,9
Indiana Pacers,2024-10-28T00:00:00,IND @ ORL,115,13,44,25,4
Los Angeles Lakers,2024-10-28T00:00:00,LAL @ PHX,105,14,46,25,6
San Antonio Spurs,2024-10-28T00:00:00,SAS vs. HOU,101,10,49,22,6
New York Knicks,2024-10-28T00:00:00,NYK vs. CLE,104,9,43,22,3
Utah Jazz,2024-10-28T00:00:00,UTA @ DAL,102,10,50,24,5
Detroit Pistons,2024-10-28T00:00:00,DET @ MIA,98,14,54,14,6
Milwaukee Bucks,2024-10-28T00:00:00,MIL @ BOS,108,8,43,18,6
Portland Trail Blazers,2024-10-28T00:00:00,POR @ SAC,98,4,46,17,4
Oklahoma City Thunder,2024-10-27T00:00:00,OKC vs. ATL,128,16,45,26,12
Portland Trail Blazers,2024-10-27T00:00:00,POR vs. NOP,125,14,51,25,8
Brooklyn Nets,2024-10-27T00:00:00,BKN vs. MIL,115,16,47,23,3
LA Clippers,2024-10-27T00:00:00,LAC @ GSW,112,10,48,27,2
Philadelphia 76ers,2024-10-27T00:00:00,PHI @ IND,118,11,54,15,4
Indiana Pacers,2024-10-27T00:00:00,IND vs. PHI,114,13,37,28,4
Golden State Warriors,2024-10-27T00:00:00,GSW vs. LAC,104,14,47,19,5
Milwaukee Bucks,2024-10-27T00:00:00,MIL @ BKN,102,10,43,20,3
New Orleans Pelicans,2024-10-27T00:00:00,NOP @ POR,103,8,39,24,8
Atlanta Hawks,2024-10-27T00:00:00,ATL @ OKC,104,10,49,24,4
Cleveland Cavaliers,2024-10-26T00:00:00,CLE @ WAS,135,18,48,27,10
Oklahoma City Thunder,2024-10-26T00:00:00,OKC @ CHI,114,8,54,21,5
Memphis Grizzlies,2024-10-26T00:00:00,MEM vs. ORL,124,13,42,38,5
Phoenix Suns,2024-10-26T00:00:00,PHX vs. DAL,114,14,47,26,4
Minnesota Timberwolves,2024-10-26T00:00:00,MIN vs. TOR,112,14,41,29,8
Miami Heat,2024-10-26T00:00:00,MIA @ CHA,114,14,43,33,6
Boston Celtics,2024-10-26T00:00:00,BOS @ DET,124,22,37,19,6
LA Clippers,2024-10-26T00:00:00,LAC @ DEN,109,12,44,30,5
Los Angeles Lakers,2024-10-26T00:00:00,LAL vs. SAC,131,14,45,32,3
San Antonio Spurs,2024-10-26T00:00:00,SAS vs. HOU,109,8,49,23,7
Houston Rockets,2024-10-26T00:00:00,HOU @ SAS,106,13,34,21,3
Sacramento Kings,2024-10-26T00:00:00,SAC @ LAL,127,15,32,32,5
Denver Nuggets,2024-10-26T00:00:00,DEN vs. LAC,104,14,37,20,4
Detroit Pistons,2024-10-26T00:00:00,DET vs. BOS,118,14,44,27,7
Charlotte Hornets,2024-10-26T00:00:00,CHA vs. MIA,106,13,46,20,5
Toronto Raptors,2024-10-26T00:00:00,TOR @ MIN,101,10,46,29,4
Dallas Mavericks,2024-10-26T00:00:00,DAL @ PHX,102,13,46,22,2
Orlando Magic,2024-10-26T00:00:00,ORL @ MEM,111,17,41,21,6
Washington Wizards,2024-10-26T00:00:00,WAS vs. CLE,116,15,46,25,9
Chicago Bulls,2024-10-26T00:00:00,CHI vs. OKC,95,15,61,23,2
Golden State Warriors,2024-10-25T00:00:00,GSW @ UTA,127,20,60,35,6
New York Knicks,2024-10-25T00:00:00,NYK vs. IND,123,12,43,19,4
Houston Rockets,2024-10-25T00:00:00,HOU vs. MEM,128,17,64,20,4
Orlando Magic,2024-10-25T00:00:00,ORL vs. BKN,116,15,39,28,7
Cleveland Cavaliers,2024-10-25T00:00:00,CLE vs. DET,113,13,39,28,4
Chicago Bulls,2024-10-25T00:00:00,CHI @ MIL,133,21,46,30,4
Toronto Raptors,2024-10-25T00:00:00,TOR vs. PHI,115,6,54,25,13
Los Angeles Lakers,2024-10-25T00:00:00,LAL vs. PHX,123,14,37,33,5
Atlanta Hawks,2024-10-25T00:00:00,ATL vs. CHA,125,14,39,25,9
New Orleans Pelicans,2024-10-25T00:00:00,NOP @ POR,105,12,44,25,8
Portland Trail Blazers,2024-10-25T00:00:00,POR vs. NOP,103,13,48,26,11
Charlotte Hornets,2024-10-25T00:00:00,CHA @ ATL,120,21,53,22,4
Phoenix Suns,2024-10-25T00:00:00,PHX @ LAL,116,17,34,35,4
Philadelphia 76ers,2024-10-25T00:00:00,PHI @ TOR,107,9,28,19,5
Milwaukee Bucks,2024-10-25T00:00:00,MIL vs. CHI,122,13,47,24,3
Detroit Pistons,2024-10-25T00:00:00,DET @ CLE,101,13,42,25,5
Brooklyn Nets,2024-10-25T00:00:00,BKN @ ORL,101,14,37,22,3
Memphis Grizzlies,2024-10-25T00:00:00,MEM @ HOU,108,10,43,24,8
Indiana Pacers,2024-10-25T00:00:00,IND @ NYK,98,3,33,28,6
Utah Jazz,2024-10-25T00:00:00,UTA vs. GSW,86,9,45,18,5
Boston Celtics,2024-10-24T00:00:00,BOS @ WAS,122,17,49,21,3
Oklahoma City Thunder,2024-10-24T00:00:00,OKC @ DEN,102,8,49,23,13
Dallas Mavericks,2024-10-24T00:00:00,DAL vs. SAS,120,19,50,27,5
Minnesota Timberwolves,2024-10-24T00:00:00,MIN @ SAC,117,20,42,24,2
Sacramento Kings,2024-10-24T00:00:00,SAC vs. MIN,115,11,38,21,2
San Antonio Spurs,2024-10-24T00:00:00,SAS @ DAL,109,12,52,30,5
Denver Nuggets,2024-10-24T00:00:00,DEN vs. OKC,87,7,57,29,7
Washington Wizards,2024-10-24T00:00:00,WAS vs. BOS,102,7,40,27,6
Golden State Warriors,2024-10-23T00:00:00,GSW @ POR,140,20,57,38,5
Cleveland Cavaliers,2024-10-23T00:00:00,CLE @ TOR,136,14,36,29,9
Orlando Magic,2024-10-23T00:00:00,ORL @ MIA,116,18,57,28,8
Milwaukee Bucks,2024-10-23T00:00:00,MIL @ PHI,124,16,46,27,9
New Orleans Pelicans,2024-10-23T00:00:00,NOP vs. CHI,123,14,42,29,10
Indiana Pacers,2024-10-23T00:00:00,IND @ DET,115,9,39,32,8
Charlotte Hornets,2024-10-23T00:00:00,CHA @ HOU,110,15,56,20,10
Atlanta Hawks,2024-10-23T00:00:00,ATL vs. BKN,120,9,45,25,9
Phoenix Suns,2024-10-23T00:00:00,PHX @ LAC,116,15,42,25,9
Memphis Grizzlies,2024-10-23T00:00:00,MEM @ UTA,126,17,41,28,5
Utah Jazz,2024-10-23T00:00:00,UTA vs. MEM,124,10,49,21,9
LA Clippers,2024-10-23T00:00:00,LAC vs. PHX,113,8,51,27,1
Brooklyn Nets,2024-10-23T00:00:00,BKN @ ATL,116,17,43,21,6
Houston Rockets,2024-10-23T00:00:00,HOU vs. CHA,105,13,43,19,4
Detroit Pistons,2024-10-23T00:00:00,DET vs. IND,109,9,38,22,2
Chicago Bulls,2024-10-23T00:00:00,CHI @ NOP,111,10,47,26,2
Philadelphia 76ers,2024-10-23T00:00:00,PHI vs. MIL,109,8,49,18,2
Miami Heat,2024-10-23T00:00:00,MIA vs. ORL,97,11,41,24,8
Toronto Raptors,2024-10-23T00:00:00,TOR vs. CLE,106,12,38,25,6
Portland Trail Blazers,2024-10-23T00:00:00,POR vs. GSW,104,8,42,21,4
Boston Celtics,2024-10-22T00:00:00,BOS vs. NYK,132,29,40,33,3
Los Angeles Lakers,2024-10-22T00:00:00,LAL vs. MIN,110,5,46,22,8
Minnesota Timberwolves,2024-10-22T00:00:00,MIN @ LAL,103,13,47,17,1
New York Knicks,2024-10-22T00:00:00,NYK @ BOS,109,11,34,20,3
Golden State Warriors,2024-10-18T00:00:00,GSW vs. LAL,132,13,36,38,9
Portland Trail Blazers,2024-10-18T00:00:00,POR vs. UTA,124,12,56,34,10
Orlando Magic,2024-10-18T00:00:00,ORL vs. PHI,114,12,43,32,10
Miami Heat,2024-10-18T00:00:00,MIA @ MEM,114,16,41,29,2
Toronto Raptors,2024-10-18T00:00:00,TOR @ BKN,116,11,45,34,7
Chicago Bulls,2024-10-18T00:00:00,CHI vs. CLE,139,19,60,34,5
Washington Wizards,2024-10-18T00:00:00,WAS vs. NYK,118,15,36,32,2
New York Knicks,2024-10-18T00:00:00,NYK @ WAS,117,8,38,22,6
Cleveland Cavaliers,2024-10-18T00:00:00,CLE @ CHI,137,17,51,33,5
Brooklyn Nets,2024-10-18T00:00:00,BKN vs. TOR,112,13,39,30,5
Memphis Grizzlies,2024-10-18T00:00:00,MEM vs. MIA,109,13,46,28,5
Philadelphia 76ers,2024-10-18T00:00:00,PHI @ ORL,99,8,51,18,3
Utah Jazz,2024-10-18T00:00:00,UTA @ POR,86,9,44,16,10
Los Angeles Lakers,2024-10-18T00:00:00,LAL @ GSW,74,7,41,15,2
Dallas Mavericks,2024-10-17T00:00:00,DAL vs. MIL,109,8,53,23,9
Houston Rockets,2024-10-17T00:00:00,HOU vs. SAS,129,15,55,25,7
LA Clippers,2024-10-17T00:00:00,LAC vs. SAC,113,11,43,20,3
Denver Nuggets,2024-10-17T00:00:00,DEN @ MIN,132,15,43,31,7
Los Angeles Lakers,2024-10-17T00:00:00,LAL @ PHX,128,16,53,25,6
Indiana Pacers,2024-10-17T00:00:00,IND vs. CHA,121,12,46,25,6
Oklahoma City Thunder,2024-10-17T00:00:00,OKC vs. ATL,104,14,50,27,8
Charlotte Hornets,2024-10-17T00:00:00,CHA @ IND,116,17,52,28,8
Atlanta Hawks,2024-10-17T00:00:00,ATL @ OKC,99,16,51,25,5
Minnesota Timberwolves,2024-10-17T00:00:00,MIN vs. DEN,126,13,45,26,4
Phoenix Suns,2024-10-17T00:00:00,PHX vs. LAL,122,12,52,33,9
San Antonio Spurs,2024-10-17T00:00:00,SAS @ HOU,107,9,38,32,2
Sacramento Kings,2024-10-17T00:00:00,SAC @ LAC,91,12,46,20,2
Milwaukee Bucks,2024-10-17T00:00:00,MIL @ DAL,84,11,37,28,4
Philadelphia 76ers,2024-10-16T00:00:00,PHI vs. BKN,117,14,51,19,5
Detroit Pistons,2024-10-16T00:00:00,DET vs. CLE,108,16,39,34,4
Portland Trail Blazers,2024-10-16T00:00:00,POR vs. ULM,111,5,48,23,5
Miami Heat,2024-10-16T00:00:00,MIA vs. ATL,120,13,47,34,2
Chicago Bulls,2024-10-16T00:00:00,CHI vs. MIN,125,18,46,32,5
Minnesota Timberwolves,2024-10-16T00:00:00,MIN @ CHI,123,17,53,31,2
Atlanta Hawks,2024-10-16T00:00:00,ATL @ MIA,111,17,38,28,2
Ratiopharm Ulm,2024-10-16T00:00:00,ULM @ POR,100,20,31,22,1
Cleveland Cavaliers,2024-10-16T00:00:00,CLE @ DET,92,9,40,20,9
Brooklyn Nets,2024-10-16T00:00:00,BKN @ PHI,95,15,43,23,4
